name,neighbourhood_cleansed,room_type,price,review_scores_rating,price_log
Elegant NYC Pad,Ditmars Steinway,Entire home/apt,140,100,4.942
"Clean & bright 1BR in Cobble Hill, GREAT location!",Cobble Hill,Entire home/apt,159,100,5.069
"Modern, Large East Village Loft",East Village,Entire home/apt,189,100,5.242
"Great new apt, close to everything",Hell's Kitchen,Entire home/apt,250,100,5.521
Quiet & Clean Retreat in the City,East Village,Entire home/apt,239,100,5.476
Stylish Large Gramercy Loft!,Flatiron District,Entire home/apt,305,100,5.720
The Brownstone-Luxury 1 Bd Apt/NYC,Harlem,Entire home/apt,155,100,5.043
PRIVATE Room on Historic Sugar Hill,Harlem,Private room,60,100,4.094
South Slope Green,Windsor Terrace,Private room,135,100,4.905
"17 Flr. Manhattan Views, Nr. Subway",Roosevelt Island,Private room,120,100,4.787
"Spacious 1BR, Adorable Clean Quiet",Lower East Side,Entire home/apt,150,100,5.011
"Nice, clean, safe, convenient 3BR",Ridgewood,Entire home/apt,145,100,4.977
One bedroom Apt. in NYC,Midtown,Entire home/apt,250,100,5.521
"Beautiful, elegant 3 bed SOHO loft",SoHo,Entire home/apt,500,100,6.215
Spacious Greenwich Village Apt,Greenwich Village,Entire home/apt,225,100,5.416
SpaHa Studio Monthly Rental,East Harlem,Entire home/apt,130,100,4.868
City Room - Private Luxury Suite,Harlem,Private room,92,100,4.522
Private Room/bath Luxurious Harlem,Harlem,Private room,175,100,5.165
The gem of the East Village,East Village,Entire home/apt,99,100,4.595
"Bright and spacious, garden below!",Upper West Side,Entire home/apt,195,100,5.273
ACCOMMODATIONS GALORE #2,East Harlem,Entire home/apt,140,100,4.942
Colorful Private One Bedroom Apt,Little Italy,Entire home/apt,135,100,4.905
Great room in great location,Harlem,Private room,80,100,4.382
Exclusive Room with Private Bath in  LES,Chinatown,Private room,125,100,4.828
"Quiet, clean midtown apt w. elevato",Midtown,Entire home/apt,110,100,4.700
Great East Village Apartment Rental,East Village,Entire home/apt,135,100,4.905
BROWNSTONE SUNDRENCHED BEAUTY,Bushwick,Entire home/apt,99,100,4.595
A SpeciaL!! Private Room in NY,Tompkinsville,Private room,38,100,3.638
B NYC Staten Alternative...,Tompkinsville,Private room,38,100,3.638
1 BDRM. APT. WITH PRIVATE ROOM E.V.,East Village,Private room,129,100,4.860
C Private Room By The Ferry,Tompkinsville,Private room,37,100,3.611
Smallest House In The Village,East Village,Entire home/apt,175,100,5.165
Beautiful modern studio apartment in heart of NYC,Chelsea,Entire home/apt,205,100,5.323
Beautiful Landmarked Duplex,Greenpoint,Entire home/apt,285,100,5.652
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Williamsburg,Private room,59,100,4.078
D Private Che@p Room 2 Explore NYC,Tompkinsville,Private room,38,100,3.638
Safe cute near subway& Manhattan NY NY retro style,Astoria,Entire home/apt,99,100,4.595
Large and Cozy Private Bedroom,Kensington,Private room,39,100,3.664
Small tidy bedroom in duplex,Park Slope,Private room,60,100,4.094
LL3,Clason Point,Private room,90,100,4.500
DOMINIQUE'S NY mini efficiency pad** a rare find**,Eastchester,Entire home/apt,105,100,4.654
"Private, Large & Sunny Top Floor Apt  w/W&D",Bedford-Stuyvesant,Entire home/apt,135,100,4.905
Cottage in the Village,East Village,Entire home/apt,390,100,5.966
BEDROOM1 FOR RENT 10min from Manhan,Bedford-Stuyvesant,Private room,70,100,4.248
"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",Inwood,Private room,75,100,4.317
Williamsburg near soho. / loftbed,Williamsburg,Private room,60,100,4.094
Prime East Village 1 Bedroom,East Village,Entire home/apt,200,100,5.298
BROOKLYN  STUDIO APARTMENT,Crown Heights,Private room,100,100,4.605
BEDROOM2 FOR RENT  10min from Manh,Bedford-Stuyvesant,Private room,70,100,4.248
cozy bedroom in lovely garden apt,Crown Heights,Private room,110,100,4.700
Crown Heights Garden Apt.,Crown Heights,Private room,60,100,4.094
ENJOY Downtown NYC!!,East Village,Private room,68,100,4.220
Charming UWS Treehouse Apt,Upper West Side,Entire home/apt,115,100,4.745
Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Bedford-Stuyvesant,Private room,75,100,4.317
"Room in S3rd/Bedford, Williamsburg",Williamsburg,Private room,60,100,4.094
CHARMING EAST VILLAGE 2 (or 1) BR,East Village,Entire home/apt,129,100,4.860
Farmhouse Apartment in Williamsburg,Williamsburg,Entire home/apt,130,100,4.868
Bright+Spacious Williamsburg Abode!,Williamsburg,Entire home/apt,95,100,4.554
"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Harlem,Private room,75,100,4.317
Beautiful 1 Bedroom Apt Park Slope,Park Slope,Entire home/apt,175,100,5.165
CHARMING CARROLL GARDENS APT.,Carroll Gardens,Entire home/apt,190,100,5.247
East Village Loft with Piano & Patio,East Village,Entire home/apt,212,100,5.357
Magic Room Lower East Side 地处纽约SOHO区购物美食文化艺术的中心地段,Lower East Side,Private room,95,100,4.554
West Harlem Home Base - Eco-Apt.,Harlem,Entire home/apt,135,100,4.905
Charming Garden Apt in Park Slope,Park Slope,Entire home/apt,150,100,5.011
"Lovely, Modern, Garden Apartment",Gowanus,Entire home/apt,190,100,5.247
New big apt in Lower East Side,Chinatown,Entire home/apt,169,100,5.130
Central Park 1BR sunny condo,East Harlem,Entire home/apt,124,100,4.820
Cozy Garden Apartment  in Williamsburg,Williamsburg,Entire home/apt,135,100,4.905
SoHa comfort-by NW Central Park!,Morningside Heights,Private room,122,100,4.804
Cozy room in Upper West Side,Upper West Side,Private room,109,100,4.691
Your Home Away From Home,Harlem,Private room,85,100,4.443
The Cozy Brownstone Inn (discount)!,Bedford-Stuyvesant,Entire home/apt,145,100,4.977
Prewar Penthouse w Private Terrace,Upper West Side,Entire home/apt,195,100,5.273
Designer 2.5 BR Loft in Carroll Gardens by Subway,Carroll Gardens,Entire home/apt,250,100,5.521
Unique spacious loft on the Bowery,Little Italy,Entire home/apt,575,100,6.354
UES Stunning + Spacious 2br GEM !!,Upper East Side,Entire home/apt,149,100,5.004
"Nice renovated apt, prime location!",Upper West Side,Entire home/apt,150,100,5.011
Private Bedroom in Large NYC Apartment,Inwood,Private room,90,100,4.500
"Large, Sunny Room East Village NYC",East Village,Private room,65,100,4.174
Red Hook Modern Townhouse,Red Hook,Entire home/apt,185,100,5.220
Great Large 3 BR/2 Bath Duplex with Private Patio!,East Village,Entire home/apt,500,100,6.215
All That Jazz. Uptown style on Sugar Hill.,Washington Heights,Entire home/apt,265,100,5.580
Bright and lovely 1 bdrm apt in LES,Chinatown,Entire home/apt,125,100,4.828
Beautiful One Bed West Village - 4 Month Special,West Village,Entire home/apt,200,100,5.298
Gigantic Private Brooklyn Loft!,Greenpoint,Entire home/apt,229,100,5.434
Condo Apartment with Laundry and Assigned Parking,Kingsbridge,Entire home/apt,92,100,4.522
1BR: See Central Park from Terrace!,Upper West Side,Entire home/apt,110,100,4.700
Private room in cozy Greenpoint,Greenpoint,Private room,59,100,4.078
Food & Music Dream Apartment in Williamsburg,Williamsburg,Entire home/apt,195,100,5.273
French Garden cottage off Bedford,Williamsburg,Entire home/apt,169,100,5.130
Alcove Studio w/ outdoor Patio Deck,East Harlem,Entire home/apt,113,100,4.727
One Bedroom Mini studio - Free WIFI,Astoria,Entire home/apt,115,100,4.745
Deluxe Harlem 2 Bedroom,Harlem,Entire home/apt,149,100,5.004
"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Greenpoint,Entire home/apt,75,100,4.317
BROOKLYN > Guest Room w/ King Bed in Williamsburg,Williamsburg,Private room,69,100,4.234
Bright Cozy Chinatown Studio Apt.,Lower East Side,Entire home/apt,150,100,5.011
Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,South Slope,Entire home/apt,169,100,5.130
Superior @ Box House,Greenpoint,Hotel room,179,100,5.187
